n	k	d	fom	wt	l	m
288	90	4	5.0000	8	12	12
288	8	12	4.0000	6	24	6
360	4	18	3.6000	6	15	12
144	8	8	3.5556	6	12	6
144	8	8	3.5556	6	6	12
288	16	8	3.5556	6	12	12
144	56	3	3.5000	8	6	12
288	108	3	3.3750	8	16	9
288	58	4	3.2222	8	24	6
360	8	12	3.2000	6	30	6
360	70	4	3.1111	8	30	6
288	50	4	2.7778	8	18	8
288	50	4	2.7778	8	18	8
360	108	3	2.7000	8	15	12
288	48	4	2.6667	8	16	9
360	52	4	2.3111	8	15	12
360	52	4	2.3111	8	15	12
144	78	2	2.1667	8	12	6
144	34	3	2.1250	8	12	6
288	68	3	2.1250	8	12	12
288	150	2	2.0833	8	24	6
360	186	2	2.0667	8	30	6
144	2	12	2.0000	4	12	6
288	64	3	2.0000	8	16	9
288	64	3	2.0000	8	18	8
288	32	4	1.7778	12	12	12
288	2	16	1.7778	4	16	9
288	2	16	1.7778	4	18	8
144	56	2	1.5556	10	12	6
360	136	2	1.5111	10	30	6
144	54	2	1.5000	8	6	12
288	104	2	1.4444	10	24	6
288	46	3	1.4375	8	12	12
360	2	15	1.2500	4	15	12
144	44	2	1.2222	8	12	6
288	2	12	1.0000	4	12	12
288	2	12	1.0000	4	24	6
144	34	2	0.9444	8	6	12
288	68	2	0.9444	8	24	6
144	32	2	0.8889	12	6	12
360	80	2	0.8889	8	30	6
288	16	4	0.8889	12	18	8
360	32	3	0.8000	12	15	12
360	2	12	0.8000	4	30	6
144	2	6	0.5000	4	6	12
288	18	2	0.2500	12	16	9
