n	k	d	fom	wt	l	m	A	B
288	104	4	5.7778	12	24	6	x^0*y^0+x^0*y^4+x^0*y^5+x^3*y^0+x^3*y^4+x^3*y^5	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
360	128	4	5.6889	12	30	6	x^0*y^0+x^0*y^4+x^0*y^5+x^3*y^0+x^3*y^4+x^3*y^5	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
360	80	5	5.5556	12	15	12	x^0*y^0+x^0*y^5+x^0*y^10+x^3*y^0+x^3*y^5+x^3*y^10	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
288	78	4	4.3333	12	16	9	x^0*y^0+x^0*y^1+x^0*y^5+x^3*y^0+x^3*y^1+x^3*y^5	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
288	16	8	3.5556	6	24	6	x^0*y^0+x^0*y^2+x^4*y^0	x^0*y^0+x^2*y^0+x^4*y^0
144	56	3	3.5000	12	12	6	x^0*y^0+x^0*y^4+x^0*y^5+x^3*y^0+x^3*y^4+x^3*y^5	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
360	8	12	3.2000	6	15	12	x^0*y^2+x^0*y^6+x^4*y^0	x^0*y^6+x^2*y^0+x^4*y^0
360	16	8	2.8444	6	30	6	x^0*y^0+x^0*y^2+x^4*y^0	x^0*y^0+x^2*y^0+x^4*y^0
288	68	3	2.1250	12	12	12	x^0*y^0+x^0*y^5+x^0*y^10+x^3*y^0+x^3*y^5+x^3*y^10	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
288	16	6	2.0000	6	12	12	x^0*y^2+x^0*y^6+x^4*y^0	x^0*y^6+x^2*y^0+x^4*y^0
288	16	6	2.0000	12	18	8	x^0*y^0+x^0*y^2+x^0*y^5+x^3*y^0+x^3*y^2+x^3*y^5	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
144	16	4	1.7778	6	12	6	x^0*y^0+x^0*y^2+x^4*y^0	x^0*y^0+x^2*y^0+x^4*y^0
144	16	4	1.7778	6	6	12	x^0*y^2+x^0*y^6+x^4*y^0	x^0*y^6+x^2*y^0+x^4*y^0
288	50	3	1.5625	8	18	8	x^0*y^0+x^0*y^6+x^5*y^0+x^5*y^6	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
360	140	2	1.5556	8	15	12	x^0*y^0+x^0*y^6+x^5*y^0+x^5*y^6	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
360	60	3	1.5000	6	30	6	x^0*y^0+x^5*y^0	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
288	48	3	1.5000	8	16	9	x^0*y^0+x^0*y^6+x^5*y^0+x^5*y^6	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
144	44	2	1.2222	12	6	12	x^0*y^0+x^0*y^5+x^0*y^10+x^3*y^0+x^3*y^5+x^3*y^10	x^0*y^0+x^0*y^1+x^0*y^2+x^4*y^0+x^4*y^1+x^4*y^2
144	34	2	0.9444	8	6	12	x^0*y^0+x^0*y^6+x^5*y^0+x^5*y^6	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
144	12	3	0.7500	6	12	6	x^0*y^0+x^5*y^0	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
288	46	2	0.6389	8	12	12	x^0*y^0+x^0*y^6+x^5*y^0+x^5*y^6	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
288	12	3	0.3750	6	24	6	x^0*y^0+x^5*y^0	x^0*y^0+x^0*y^5+x^5*y^0+x^5*y^5
