n	k	d_bposd	fom	l	m	A	B
336	20	32	60.9524	14	12	x^1*y^6+x^6*y^5+x^12*y^7	x^3*y^10+x^5*y^2+x^9*y^0
780	16	50	51.2821	39	10	x^2*y^4+x^17*y^2+x^25*y^8	x^1*y^1+x^12*y^9+x^24*y^3
720	16	48	51.2000	12	30	x^2*y^18+x^10*y^6+x^10*y^26	x^7*y^0+x^7*y^2+x^7*y^19
528	16	40	48.4848	22	12	x^8*y^5+x^10*y^3+x^19*y^7	x^2*y^7+x^11*y^11+x^20*y^9
384	16	34	48.1667	8	24	x^1*y^2+x^6*y^16+x^7*y^6	x^4*y^9+x^6*y^13+x^6*y^17
288	16	28	43.5556	36	4	x^5*y^1+x^9*y^3+x^13*y^3	x^24*y^0+x^26*y^3+x^28*y^1
432	16	34	42.8148	36	6	x^4*y^2+x^12*y^3+x^34*y^3	x^9*y^2+x^11*y^3+x^23*y^2
540	16	38	42.7852	15	18	x^3*y^7+x^4*y^7+x^14*y^7	x^3*y^14+x^13*y^10+x^14*y^0
960	16	50	41.6667	24	20	x^7*y^1+x^8*y^16+x^9*y^11	x^2*y^3+x^7*y^12+x^23*y^16
840	16	46	40.3048	14	30	x^5*y^17+x^9*y^28+x^11*y^14	x^5*y^0+x^5*y^13+x^9*y^6
600	16	38	38.5067	60	5	x^17*y^2+x^31*y^0+x^57*y^2	x^0*y^4+x^36*y^0+x^40*y^1
720	12	48	38.4000	12	30	x^1*y^7+x^5*y^0+x^9*y^14	x^6*y^23+x^7*y^28+x^11*y^0
784	12	50	38.2653	28	14	x^5*y^3+x^9*y^7+x^26*y^8	x^6*y^12+x^16*y^6+x^21*y^3
324	12	32	37.9259	18	9	x^5*y^1+x^11*y^1+x^15*y^8	x^7*y^8+x^12*y^7+x^16*y^5
812	12	50	36.9458	58	7	x^28*y^0+x^38*y^2+x^48*y^3	x^8*y^3+x^24*y^4+x^56*y^1
294	12	30	36.7347	7	21	x^1*y^10+x^4*y^15+x^5*y^13	x^4*y^11+x^4*y^13+x^4*y^17
896	12	52	36.2143	28	16	x^14*y^15+x^16*y^11+x^20*y^0	x^3*y^15+x^9*y^9+x^19*y^3
300	16	26	36.0533	5	30	x^1*y^27+x^3*y^7+x^4*y^25	x^1*y^22+x^2*y^14+x^3*y^22
588	12	42	36.0000	7	42	x^0*y^6+x^2*y^8+x^5*y^37	x^4*y^19+x^4*y^20+x^4*y^38
560	12	40	34.2857	40	7	x^7*y^3+x^11*y^0+x^17*y^1	x^6*y^5+x^8*y^3+x^28*y^2
810	12	48	34.1333	15	27	x^9*y^18+x^11*y^12+x^13*y^15	x^7*y^3+x^10*y^24+x^14*y^21
686	12	44	33.8659	7	49	x^0*y^37+x^2*y^13+x^3*y^8	x^0*y^34+x^1*y^7+x^2*y^11
288	12	28	32.6667	12	12	x^2*y^1+x^6*y^0+x^7*y^6	x^3*y^4+x^4*y^0+x^5*y^5
496	10	40	32.2581	31	8	x^13*y^6+x^19*y^7+x^29*y^3	x^14*y^0+x^20*y^0+x^30*y^1
840	10	52	32.1905	12	35	x^3*y^22+x^7*y^10+x^11*y^25	x^9*y^7+x^10*y^3+x^11*y^16
336	12	30	32.1429	6	28	x^2*y^14+x^4*y^12+x^5*y^18	x^0*y^24+x^2*y^4+x^3*y^6
392	12	32	31.3469	7	28	x^0*y^11+x^2*y^13+x^4*y^20	x^1*y^18+x^5*y^3+x^6*y^15
616	12	40	31.1688	22	14	x^4*y^7+x^10*y^11+x^10*y^13	x^4*y^1+x^9*y^12+x^11*y^7
448	12	34	30.9643	56	4	x^13*y^2+x^32*y^2+x^42*y^3	x^20*y^0+x^38*y^2+x^54*y^2
756	10	48	30.4762	21	18	x^3*y^5+x^16*y^14+x^19*y^13	x^1*y^2+x^4*y^3+x^16*y^4
270	12	26	30.0444	45	3	x^21*y^2+x^33*y^1+x^40*y^1	x^21*y^2+x^31*y^2+x^41*y^2
644	12	40	29.8137	23	14	x^2*y^8+x^4*y^4+x^11*y^2	x^11*y^3+x^12*y^13+x^21*y^11
792	16	38	29.1717	33	12	x^3*y^7+x^16*y^7+x^23*y^3	x^2*y^5+x^3*y^9+x^22*y^1
672	12	40	28.5714	42	8	x^5*y^3+x^13*y^6+x^17*y^0	x^7*y^5+x^9*y^2+x^17*y^3
144	16	16	28.4444	24	3	x^2*y^2+x^6*y^2+x^18*y^1	x^4*y^0+x^4*y^1+x^8*y^0
490	12	34	28.3102	7	35	x^2*y^24+x^4*y^29+x^5*y^32	x^0*y^0+x^1*y^11+x^5*y^34
840	12	44	27.6571	10	42	x^2*y^26+x^4*y^9+x^4*y^24	x^0*y^12+x^0*y^29+x^8*y^34
