n	k	d	fom	l	m	A	B	wt	fam	C	D
288	16	29	46.7222	4	36	x^0*y^22+x^2*y^1+x^2*y^20+x^2*y^25+x^2*y^27	x^1*y^25+x^1*y^30+x^3*y^6+x^3*y^16	9	css		
352	20	28	44.5455	44	4	x^0*y^1+x^12*y^3+x^18*y^1+x^38*y^3	x^1*y^1+x^13*y^3+x^20*y^1+x^32*y^3	8	css		
280	12	30	38.5714	28	5	x^2*y^1+x^8*y^3+x^12*y^4+x^24*y^0	x^3*y^4+x^10*y^2+x^19*y^2+x^24*y^0+x^27*y^0	9	css		
216	12	26	37.5556	9	12	x^3*y^10+x^6*y^3+x^6*y^4+x^7*y^11	x^0*y^11+x^5*y^1+x^5*y^9+x^6*y^9	8	css		
288	12	30	37.5000	4	36	x^1*y^9+x^1*y^18+x^3*y^7+x^3*y^20	x^0*y^29+x^1*y^13+x^2*y^23+x^3*y^21	8	css		
252	12	28	37.3333	21	6	x^2*y^4+x^4*y^0+x^19*y^3+x^20*y^4	x^7*y^1+x^17*y^4+x^18*y^4	7	css		
294	12	30	36.7347	7	21	x^1*y^7+x^3*y^11+x^4*y^6	x^0*y^16+x^5*y^8+x^6*y^20	6	css		
336	12	32	36.5714	28	6	x^7*y^5+x^8*y^5+x^11*y^1+x^21*y^5+x^24*y^1	x^2*y^1+x^7*y^1+x^19*y^3+x^20*y^5	9	css		
360	10	34	32.1111	60	3	x^21*y^1+x^27*y^1+x^44*y^2+x^59*y^2	x^4*y^0+x^19*y^2+x^32*y^0+x^32*y^2	8	css		
320	10	32	32.0000	5	32	x^2*y^3+x^2*y^14+x^3*y^10+x^3*y^16	x^0*y^21+x^0*y^23+x^1*y^0+x^1*y^25	8	css		
324	10	32	31.6049	6	27	x^0*y^10+x^3*y^0+x^5*y^6+x^5*y^26	x^0*y^26+x^3*y^22+x^5*y^1+x^5*y^24	8	css		
272	10	29	30.9191	8	17	x^5*y^6+x^5*y^15+x^7*y^0+x^7*y^2	x^0*y^7+x^1*y^14+x^4*y^7+x^5*y^8	8	css		
224	12	24	30.8571	56	2	x^13*y^0+x^20*y^0+x^31*y^1+x^38*y^1	x^33*y^0+x^36*y^0+x^49*y^0	7	css		
224	10	26	30.1786	4	28	x^0*y^2+x^0*y^25+x^3*y^12+x^3*y^13	x^1*y^3+x^2*y^8+x^2*y^24+x^3*y^5	8	css		
192	16	19	30.0833	48	2	x^4*y^0+x^10*y^0+x^12*y^0+x^34*y^0	x^12*y^1+x^20*y^1+x^24*y^0+x^44*y^1	8	css		
300	10	30	30.0000	50	3	x^5*y^0+x^10*y^0+x^17*y^0+x^27*y^0	x^16*y^0+x^21*y^1+x^34*y^0+x^48*y^0	8	css		
192	10	24	30.0000	4	24	x^2*y^5+x^2*y^6+x^3*y^2+x^3*y^19	x^0*y^6+x^0*y^7+x^1*y^19+x^3*y^10	8	css		
360	12	30	30.0000	30	6	x^0*y^0+x^12*y^0+x^23*y^4+x^25*y^0	x^8*y^1+x^15*y^5+x^26*y^3+x^28*y^5	8	css		
320	12	28	29.4000	40	4	x^11*y^2+x^25*y^2+x^27*y^3+x^37*y^2	x^4*y^2+x^12*y^0+x^15*y^0+x^35*y^1	8	css		
270	10	28	29.0370	45	3	x^3*y^1+x^14*y^0+x^14*y^1+x^33*y^2	x^5*y^1+x^25*y^2+x^36*y^1+x^43*y^2	8	css		
