n	k	d	fom	l	m	A	B	wt	fam	C	D
360	160	156	10816.0000	30	6	x^0*y^0+x^0*y^2+x^0*y^4	x^0*y^0+x^10*y^0+x^20*y^0	6	css		
342	152	146	9473.7778	3	57	x^0*y^0+x^0*y^19+x^0*y^38	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
324	144	142	8961.7778	54	3	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^18*y^0+x^36*y^0	6	css		
306	136	130	7511.1111	51	3	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^17*y^0+x^34*y^0	6	css		
288	128	126	7056.0000	12	12	x^0*y^0+x^0*y^4+x^0*y^8	x^0*y^0+x^4*y^0+x^8*y^0	6	css		
270	120	114	5776.0000	9	15	x^0*y^0+x^0*y^5+x^0*y^10	x^0*y^0+x^3*y^0+x^6*y^0	6	css		
252	112	108	5184.0000	6	21	x^0*y^0+x^0*y^7+x^0*y^14	x^0*y^0+x^2*y^0+x^4*y^0	6	css		
234	104	98	4268.4444	3	39	x^0*y^0+x^0*y^13+x^0*y^26	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
216	96	90	3600.0000	36	3	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^12*y^0+x^24*y^0	6	css		
198	88	82	2988.4444	33	3	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^11*y^0+x^22*y^0	6	css		
360	80	112	2787.5556	6	30	x^0*y^0+x^0*y^5+x^0*y^10	x^0*y^0+x^2*y^0+x^4*y^0	6	css		
180	80	76	2567.1111	6	15	x^0*y^0+x^0*y^5+x^0*y^10	x^0*y^0+x^2*y^0+x^4*y^0	6	css		
324	72	96	2048.0000	3	54	x^0*y^0+x^0*y^9+x^0*y^18	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
162	72	66	1936.0000	3	27	x^0*y^0+x^0*y^9+x^0*y^18	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
