n	k	d	fom	l	m	A	B	wt	fam	C	D
360	270	166	20667.0000	30	6	x^0*y^0+x^0*y^3+x^15*y^0+x^15*y^3		4	css		
352	264	165	20418.7500	22	8	x^0*y^0+x^0*y^4+x^11*y^0+x^11*y^4		4	css		
336	252	163	19926.7500	12	14	x^0*y^0+x^0*y^7+x^6*y^0+x^6*y^7		4	css		
320	240	152	17328.0000	20	8	x^0*y^0+x^0*y^4+x^10*y^0+x^10*y^4		4	css		
360	240	154	15810.6667	60	3	x^0*y^0+x^0*y^2+x^30*y^0+x^30*y^2		4	css		
348	232	140	13066.6667	58	3	x^0*y^0+x^0*y^2+x^29*y^0+x^29*y^2		4	css		
304	228	146	15987.0000	4	38	x^0*y^0+x^0*y^19+x^2*y^0+x^2*y^19		4	css		
336	224	140	13066.6667	28	6	x^0*y^0+x^0*y^2+x^14*y^0+x^14*y^2		4	css		
352	220	145	13140.6250	22	8	x^0*y^0+x^0*y^6+x^11*y^0+x^11*y^6		4	css		
288	216	138	14283.0000	24	6	x^0*y^0+x^0*y^3+x^12*y^0+x^12*y^3		4	css		
324	216	138	12696.0000	18	9	x^0*y^0+x^0*y^6+x^9*y^0+x^9*y^6		4	css		
360	216	144	12441.6000	10	18	x^0*y^0+x^0*y^9+x^8*y^0+x^8*y^9		4	css		
336	210	140	12250.0000	4	42	x^0*y^0+x^0*y^21+x^3*y^0+x^3*y^21		4	css		
360	210	138	11109.0000	6	30	x^0*y^0+x^0*y^15+x^1*y^0+x^1*y^15		4	css		
280	210	102	7803.0000	14	10	x^0*y^0+x^0*y^5+x^7*y^0+x^7*y^5		4	css		
312	208	134	11970.6667	4	39	x^0*y^0+x^0*y^13+x^2*y^0+x^2*y^13		4	css		
340	204	132	10454.4000	5	34	x^0*y^0+x^0*y^17+x^4*y^0+x^4*y^17		4	css		
272	204	118	10443.0000	34	4	x^0*y^0+x^0*y^2+x^17*y^0+x^17*y^2		4	css		
300	200	125	10416.6667	50	3	x^0*y^0+x^0*y^2+x^25*y^0+x^25*y^2		4	css		
360	200	136	10275.5556	60	3	x^0*y^0+x^0*y^1+x^20*y^0+x^20*y^1	x^0*y^0+x^0*y^2+x^40*y^0+x^40*y^2	8	css		
