n	k	d	fom	l	m	A	B	wt	fam	C	D
24	4	4	2.6667	2	6	x^0*y^3+x^1*y^4+x^1*y^5	x^0*y^0+x^0*y^1+x^0*y^2	8	pbb	x^1*y^0	x^0*y^2
12	4	2	1.3333	3	2	x^0*y^0+x^1*y^1+x^2*y^1	x^0*y^0+x^1*y^1+x^2*y^0	8	pbb	x^0*y^0+x^0*y^1	
24	8	2	1.3333	6	2	x^0*y^0+x^1*y^1+x^5*y^1	x^0*y^0+x^2*y^0+x^4*y^0	8	pbb		x^1*y^0+x^4*y^1
24	2	4	1.3333	4	3	x^0*y^2+x^1*y^0+x^2*y^1	x^0*y^1+x^2*y^0+x^3*y^2	7	pbb		x^1*y^2
24	6	2	1.0000	6	2	x^2*y^0+x^3*y^0+x^4*y^0	x^0*y^1+x^1*y^1+x^5*y^1	9	pbb	x^5*y^0	x^3*y^0+x^4*y^1
18	4	2	0.8889	3	3	x^0*y^1+x^1*y^1+x^2*y^1	x^0*y^2+x^1*y^1+x^2*y^0	8	pbb		x^1*y^2+x^2*y^2
12	2	2	0.6667	3	2	x^0*y^0+x^1*y^0+x^2*y^1	x^0*y^0+x^1*y^0+x^2*y^1	8	pbb		x^0*y^1+x^1*y^0
18	2	2	0.4444	3	3	x^0*y^0+x^0*y^1+x^1*y^0	x^0*y^1+x^1*y^1+x^2*y^1	8	pbb	x^1*y^2	x^0*y^2
48	4	2	0.3333	3	8	x^0*y^7+x^1*y^6+x^2*y^3	x^0*y^7+x^1*y^6+x^2*y^3	8	pbb	x^2*y^1	x^2*y^1
120	8	2	0.2667	5	12	x^1*y^4+x^1*y^6+x^3*y^2	x^0*y^1+x^0*y^5+x^0*y^9	7	pbb		x^0*y^9
54	2	2	0.1481	3	9	x^0*y^3+x^1*y^0+x^2*y^6	x^1*y^2+x^2*y^1+x^2*y^8	7	pbb	x^0*y^3	
168	4	2	0.0952	21	4	x^3*y^0+x^7*y^3+x^14*y^3	x^2*y^3+x^9*y^3+x^16*y^3	8	pbb		x^3*y^1+x^15*y^1
