n	k	d	fom	l	m	A	B	wt	fam	C	D
360	16	28	34.8444	12	15	x^1*y^12+x^3*y^8+x^5*y^11	x^2*y^1+x^8*y^13+x^10*y^2	6	css		
330	14	28	33.2606	15	11	x^1*y^1+x^3*y^3+x^4*y^4+x^6*y^3+x^6*y^6+x^12*y^7	x^2*y^5+x^2*y^9+x^8*y^0+x^8*y^2	10	css		
324	12	29	31.1481	18	9	x^4*y^4+x^6*y^7+x^7*y^8+x^17*y^2	x^2*y^1+x^5*y^0+x^13*y^0+x^14*y^7	8	css		
220	10	26	30.7273	2	55	x^0*y^36+x^0*y^38+x^0*y^43+x^1*y^46	x^0*y^11+x^0*y^15+x^0*y^26+x^0*y^30	8	css		
168	10	22	28.8095	6	14	x^2*y^7+x^2*y^12+x^3*y^11+x^3*y^12	x^0*y^8+x^1*y^1+x^3*y^7+x^4*y^6	8	css		
288	8	30	25.0000	48	3	x^20*y^2+x^22*y^2+x^25*y^1+x^37*y^1	x^4*y^0+x^6*y^2+x^30*y^2+x^38*y^1+x^40*y^2	9	css		
336	8	32	24.3810	28	6	x^0*y^2+x^5*y^1+x^14*y^4+x^17*y^4+x^21*y^2+x^25*y^4	x^2*y^5+x^10*y^4+x^11*y^2+x^11*y^4	10	css		
192	8	24	24.0000	24	4	x^1*y^0+x^3*y^3+x^7*y^0+x^10*y^1+x^14*y^0+x^16*y^2+x^17*y^0+x^20*y^2	x^1*y^1+x^1*y^3+x^4*y^0+x^7*y^0+x^10*y^1+x^12*y^1+x^17*y^3+x^22*y^3	16	css		
196	8	24	23.5102	14	7	x^0*y^2+x^2*y^0+x^7*y^1+x^8*y^5	x^3*y^3+x^5*y^0+x^7*y^6+x^11*y^5	8	css		
352	8	32	23.2727	8	22	x^0*y^2+x^4*y^12+x^7*y^13+x^7*y^16	x^0*y^8+x^0*y^20+x^1*y^9+x^1*y^14	8	css		
360	8	32	22.7556	12	15	x^1*y^12+x^3*y^8+x^4*y^11	x^2*y^1+x^8*y^13+x^9*y^2	6	css		
176	8	22	22.0000	44	2	x^4*y^0+x^14*y^1+x^22*y^0+x^42*y^1	x^14*y^1+x^15*y^0+x^17*y^1+x^20*y^1+x^21*y^1+x^27*y^0+x^30*y^0+x^40*y^0	12	css		
198	8	23	21.3737	33	3	x^17*y^2+x^22*y^2+x^29*y^2+x^31*y^2	x^13*y^1+x^15*y^1+x^20*y^0+x^26*y^1+x^27*y^2	9	css		
216	8	24	21.3333	3	36	x^0*y^1+x^0*y^35+x^2*y^19+x^2*y^31+x^2*y^33	x^0*y^2+x^0*y^4+x^0*y^9+x^0*y^13+x^0*y^25+x^0*y^30+x^1*y^27	12	css		
150	8	20	21.3333	5	15	x^0*y^5+x^1*y^0+x^1*y^1+x^1*y^12+x^1*y^14+x^2*y^7+x^4*y^11	x^0*y^4+x^1*y^6+x^2*y^9+x^3*y^4+x^4*y^2	12	css		
384	8	32	21.3333	32	6	x^1*y^0+x^10*y^4+x^18*y^5+x^21*y^2+x^24*y^4+x^25*y^4+x^28*y^5	x^8*y^5+x^9*y^3+x^13*y^3+x^31*y^5	11	css		
126	6	20	19.0476	3	21	x^0*y^7+x^0*y^17+x^1*y^0+x^1*y^1+x^1*y^10+x^1*y^11+x^1*y^16	x^0*y^1+x^0*y^2+x^0*y^8+x^0*y^14+x^1*y^6+x^1*y^11+x^2*y^18	14	css		
324	6	32	18.9630	18	9	x^3*y^4+x^6*y^7+x^7*y^8+x^17*y^2	x^1*y^1+x^5*y^0+x^13*y^0+x^14*y^7	8	css		
264	10	22	18.3333	22	6	x^0*y^4+x^1*y^2+x^2*y^4+x^3*y^3+x^13*y^3+x^14*y^2+x^14*y^3+x^20*y^3	x^0*y^0+x^1*y^1+x^4*y^3+x^7*y^2+x^14*y^2+x^16*y^2+x^16*y^5+x^21*y^4	16	css		
160	6	22	18.1500	4	20	x^0*y^14+x^1*y^19+x^2*y^17+x^3*y^17	x^0*y^0+x^1*y^0+x^2*y^14+x^3*y^2	8	css		
120	6	19	18.0500	3	20	x^0*y^0+x^0*y^15+x^1*y^2+x^1*y^5+x^1*y^10+x^1*y^14	x^0*y^2+x^0*y^14+x^0*y^17+x^1*y^5+x^1*y^12+x^2*y^16	12	css		
192	6	24	18.0000	24	4	x^1*y^2+x^5*y^0+x^9*y^2+x^11*y^0+x^12*y^1+x^13*y^1+x^16*y^1+x^22*y^2	x^2*y^0+x^12*y^3+x^15*y^2+x^23*y^0	12	css		
216	12	18	18.0000	9	12	x^1*y^9+x^3*y^3+x^4*y^1+x^7*y^1	x^0*y^8+x^4*y^10+x^5*y^4+x^8*y^2	8	css		
210	6	25	17.8571	7	15	x^0*y^5+x^0*y^9+x^0*y^10+x^3*y^4+x^3*y^5+x^3*y^6	x^2*y^10+x^3*y^2+x^5*y^0+x^5*y^1+x^6*y^2+x^6*y^4+x^6*y^7+x^6*y^12	14	css		
180	8	20	17.7778	15	6	x^4*y^4+x^11*y^2+x^11*y^4+x^12*y^1+x^14*y^2	x^2*y^0+x^2*y^5+x^5*y^1	8	css		
392	6	34	17.6939	28	7	x^7*y^3+x^12*y^2+x^18*y^0	x^16*y^5+x^18*y^0+x^22*y^6	6	css		
220	8	22	17.6000	55	2	x^0*y^0+x^28*y^0+x^38*y^0+x^40*y^0	x^3*y^1+x^7*y^0+x^18*y^0+x^21*y^1+x^25*y^0+x^38*y^1+x^44*y^0	11	css		
308	6	30	17.5325	22	7	x^2*y^3+x^2*y^6+x^8*y^5	x^2*y^3+x^8*y^2+x^14*y^5+x^21*y^1	7	css		
288	6	29	17.5208	48	3	x^6*y^2+x^10*y^2+x^15*y^0+x^17*y^0+x^28*y^2+x^41*y^1	x^21*y^2+x^39*y^2+x^43*y^0+x^43*y^1	10	css		
112	6	18	17.3571	2	28	x^0*y^4+x^0*y^5+x^0*y^13+x^0*y^17+x^0*y^27+x^1*y^13+x^1*y^22+x^1*y^25	x^0*y^1+x^0*y^3+x^0*y^7+x^0*y^24+x^1*y^22+x^1*y^27	14	css		
168	8	19	17.1905	2	42	x^0*y^4+x^0*y^21+x^0*y^28+x^0*y^30+x^0*y^33+x^0*y^36+x^1*y^2+x^1*y^20	x^0*y^3+x^0*y^25+x^1*y^11+x^1*y^39	12	css		
152	8	18	17.0526	2	38	x^0*y^18+x^0*y^36+x^1*y^12+x^1*y^36	x^0*y^0+x^0*y^8+x^0*y^17+x^0*y^25	8	css		
342	12	22	16.9825	19	9	x^2*y^2+x^5*y^2+x^5*y^5+x^15*y^8+x^17*y^2	x^0*y^0+x^1*y^3+x^5*y^6	8	css		
300	8	25	16.6667	10	15	x^1*y^2+x^3*y^5+x^4*y^6	x^1*y^7+x^1*y^10+x^7*y^1+x^8*y^6	7	css		
144	6	20	16.6667	4	18	x^1*y^1+x^3*y^13+x^3*y^14+x^3*y^16	x^0*y^8+x^1*y^14+x^1*y^17+x^2*y^7	8	css		
240	8	22	16.1333	15	8	x^3*y^0+x^3*y^4+x^4*y^1+x^4*y^7+x^7*y^7+x^8*y^5+x^9*y^3+x^9*y^7	x^1*y^6+x^5*y^6+x^11*y^2+x^12*y^6	12	css		
108	6	17	16.0556	18	3	x^0*y^1+x^5*y^2+x^6*y^0+x^8*y^0+x^10*y^1+x^15*y^1+x^16*y^2+x^17*y^2	x^0*y^1+x^1*y^2+x^3*y^2+x^4*y^1+x^8*y^0+x^8*y^1+x^9*y^0+x^9*y^1	16	css		
162	8	18	16.0000	3	27	x^0*y^5+x^0*y^7+x^0*y^22+x^1*y^3+x^1*y^16+x^1*y^24+x^2*y^12	x^0*y^17+x^1*y^22+x^2*y^7+x^2*y^14	11	css		
224	6	24	15.4286	8	14	x^0*y^2+x^1*y^6+x^1*y^7+x^6*y^7	x^1*y^9+x^4*y^12+x^5*y^3+x^5*y^6+x^6*y^9+x^7*y^13	10	css		
102	6	16	15.0588	17	3	x^1*y^0+x^5*y^0+x^8*y^2+x^16*y^2	x^2*y^1+x^3*y^1+x^3*y^2+x^9*y^0+x^10*y^0+x^10*y^2	10	css		
96	14	10	14.5833	12	4	x^0*y^0+x^0*y^1+x^0*y^3+x^1*y^2+x^3*y^1+x^6*y^2+x^7*y^3+x^11*y^0	x^4*y^3+x^5*y^3+x^8*y^1+x^11*y^1	12	css		
