n	k	d	fom	l	m	A	B	wt	fam	C	D
588	14	42	42.0000	21	14	x^2*y^7+x^8*y^9+x^14*y^6+x^19*y^10+x^19*y^11+x^20*y^0+x^20*y^6+x^20*y^12	x^4*y^8+x^4*y^10+x^7*y^3+x^11*y^12+x^14*y^8+x^15*y^2+x^16*y^3+x^19*y^13	16	css		
560	12	40	34.2857	35	8	x^12*y^5+x^30*y^7+x^31*y^7	x^17*y^3+x^18*y^2+x^19*y^5+x^25*y^6+x^26*y^7+x^31*y^1	9	css		
360	10	34	32.1111	15	12	x^4*y^1+x^11*y^3+x^12*y^3+x^14*y^4	x^2*y^6+x^2*y^7+x^7*y^3+x^7*y^8+x^13*y^1+x^14*y^2	10	css		
616	10	44	31.4286	22	14	x^0*y^13+x^3*y^13+x^6*y^1+x^16*y^8+x^18*y^4+x^18*y^11	x^5*y^6+x^6*y^12+x^7*y^4+x^8*y^9+x^11*y^7+x^14*y^4	12	css		
756	12	44	30.7302	27	14	x^9*y^1+x^10*y^4+x^12*y^10+x^18*y^3+x^18*y^5	x^3*y^6+x^13*y^1+x^15*y^7	8	css		
256	10	28	30.6250	16	8	x^0*y^2+x^1*y^0+x^7*y^2+x^9*y^2	x^3*y^0+x^3*y^3+x^3*y^4+x^15*y^7	8	css		
216	16	20	29.6296	3	36	x^0*y^10+x^1*y^18+x^2*y^14	x^0*y^6+x^1*y^26+x^2*y^6	6	css		
216	12	22	26.8889	9	12	x^1*y^9+x^3*y^3+x^4*y^1+x^7*y^1	x^0*y^8+x^4*y^10+x^5*y^4+x^8*y^2	8	css		
720	8	48	25.6000	40	9	x^2*y^4+x^13*y^8+x^24*y^7	x^17*y^8+x^23*y^1+x^24*y^5+x^38*y^8	7	css		
196	8	25	25.5102	14	7	x^0*y^2+x^2*y^0+x^7*y^1+x^8*y^5	x^3*y^3+x^5*y^0+x^7*y^6+x^11*y^5	8	css		
152	8	22	25.4737	2	38	x^0*y^18+x^0*y^36+x^1*y^12+x^1*y^36	x^0*y^0+x^0*y^8+x^0*y^17+x^0*y^25	8	css		
320	12	26	25.3500	8	20	x^2*y^10+x^3*y^0+x^4*y^16+x^5*y^12+x^7*y^12+x^7*y^14	x^0*y^2+x^1*y^12+x^2*y^4+x^2*y^10+x^4*y^2+x^5*y^12	12	css		
336	8	32	24.3810	28	6	x^0*y^2+x^5*y^1+x^14*y^4+x^17*y^4+x^21*y^2+x^25*y^4	x^2*y^5+x^10*y^4+x^11*y^2+x^11*y^4	10	css		
224	8	26	24.1429	2	56	x^1*y^4+x^1*y^27+x^1*y^42+x^1*y^45	x^0*y^39+x^0*y^53+x^1*y^41+x^1*y^49	8	css		
