n	k	d	fom	l	m	A	B	wt	fam	C	D
504	294	190	21058.3333	42	6	x^0*y^0+x^0*y^1+x^21*y^0+x^21*y^1		4	css		
384	288	182	24843.0000	32	6	x^0*y^0+x^0*y^3+x^16*y^0+x^16*y^3		4	css		
480	288	184	20313.6000	8	30	x^0*y^0+x^0*y^6+x^4*y^0+x^4*y^6		4	css		
432	288	174	20184.0000	36	6	x^0*y^0+x^0*y^3+x^12*y^0+x^12*y^3		4	css		
512	288	185	19251.5625	8	32	x^0*y^0+x^0*y^4+x^4*y^0+x^4*y^4		4	css		
420	280	171	19494.0000	21	10	x^0*y^0+x^0*y^5+x^7*y^0+x^7*y^5		4	css		
448	280	171	18275.6250	4	56	x^0*y^0+x^0*y^14+x^2*y^0+x^2*y^14		4	css		
480	280	175	17864.5833	60	4	x^0*y^0+x^0*y^2+x^10*y^0+x^10*y^2		4	css		
520	280	176	16679.3846	13	20	x^0*y^0+x^0*y^10+x^2*y^0+x^2*y^10		4	css		
460	276	180	19440.0000	5	46	x^0*y^0+x^0*y^23+x^3*y^0+x^3*y^23		4	css		
408	272	163	17712.6667	51	4	x^0*y^0+x^0*y^2+x^34*y^0+x^34*y^2		4	css		
504	270	173	16033.3929	18	14	x^0*y^0+x^0*y^1+x^9*y^0+x^9*y^1		4	css		
504	266	174	15979.0000	18	14	x^0*y^0+x^0*y^7+x^1*y^0+x^1*y^7		4	css		
440	264	167	16733.4000	44	5	x^0*y^0+x^0*y^4+x^22*y^0+x^22*y^4		4	css		
484	264	175	16704.5455	22	11	x^0*y^0+x^0*y^1+x^11*y^0+x^11*y^1		4	css		
480	264	174	16651.8000	6	40	x^0*y^0+x^0*y^28+x^3*y^0+x^3*y^28		4	css		
512	264	174	15611.0625	32	8	x^0*y^0+x^0*y^4+x^7*y^0+x^7*y^4		4	css		
516	264	170	14786.0465	6	43	x^0*y^0+x^0*y^16+x^3*y^0+x^3*y^16		4	css		
504	264	155	12584.5238	42	6	x^0*y^0+x^0*y^3+x^26*y^0+x^26*y^3		4	css		
480	260	164	14568.6667	24	10	x^0*y^0+x^0*y^5+x^10*y^0+x^10*y^5		4	css		
500	260	162	13646.8800	25	10	x^0*y^0+x^0*y^5+x^4*y^0+x^4*y^5		4	css		
384	256	153	15606.0000	16	12	x^0*y^0+x^0*y^4+x^8*y^0+x^8*y^4		4	css		
480	256	160	13653.3333	60	4	x^0*y^0+x^0*y^2+x^28*y^0+x^28*y^2		4	css		
336	252	153	17556.7500	6	28	x^0*y^0+x^0*y^14+x^3*y^0+x^3*y^14		4	css		
420	252	161	15552.6000	35	6	x^0*y^0+x^0*y^3+x^7*y^0+x^7*y^3		4	css		
448	252	163	14945.0625	28	8	x^0*y^0+x^0*y^7+x^14*y^0+x^14*y^7		4	css		
492	252	168	14456.1951	6	41	x^0*y^0+x^0*y^26+x^3*y^0+x^3*y^26		4	css		
468	252	159	13612.8462	6	39	x^0*y^0+x^0*y^36+x^3*y^0+x^3*y^36		4	css		
400	250	156	15210.0000	10	20	x^0*y^0+x^0*y^15+x^5*y^0+x^5*y^15		4	css		
320	240	146	15987.0000	20	8	x^0*y^0+x^0*y^4+x^10*y^0+x^10*y^4		4	css		
384	240	150	14062.5000	4	48	x^0*y^0+x^0*y^36+x^2*y^0+x^2*y^36		4	css		
400	240	152	13862.4000	50	4	x^0*y^0+x^0*y^2+x^30*y^0+x^30*y^2		4	css		
456	240	161	13642.6316	12	19	x^0*y^0+x^0*y^13+x^6*y^0+x^6*y^13		4	css		
420	240	153	13376.5714	7	30	x^0*y^0+x^0*y^15+x^3*y^0+x^3*y^15		4	css		
448	240	156	13037.1429	56	4	x^0*y^0+x^0*y^2+x^36*y^0+x^36*y^2		4	css		
464	240	156	12587.5862	4	58	x^0*y^0+x^0*y^2+x^2*y^0+x^2*y^2		4	css		
472	240	156	12374.2373	59	4	x^0*y^0+x^0*y^2+x^51*y^0+x^51*y^2		4	css		
460	240	147	11274.2609	10	23	x^0*y^0+x^0*y^8+x^5*y^0+x^5*y^8		4	css		
464	236	156	12377.7931	4	58	x^0*y^0+x^0*y^25+x^2*y^0+x^2*y^25		4	css		
348	232	135	12150.0000	58	3	x^0*y^0+x^0*y^1+x^29*y^0+x^29*y^1		4	css		
456	232	149	11295.2456	57	4	x^0*y^0+x^0*y^2+x^23*y^0+x^23*y^2		4	css		
448	232	144	10738.2857	56	4	x^0*y^0+x^0*y^2+x^10*y^0+x^10*y^2		4	css		
440	230	146	11142.4545	10	22	x^0*y^0+x^0*y^17+x^5*y^0+x^5*y^17		4	css		
380	228	146	12789.6000	5	38	x^0*y^0+x^0*y^19+x^3*y^0+x^3*y^19		4	css		
456	228	156	12168.0000	4	57	x^0*y^0+x^0*y^19+x^3*y^0+x^3*y^19	x^0*y^0+x^0*y^38+x^2*y^0+x^2*y^38	8	css		
448	228	152	11758.2857	4	56	x^0*y^0+x^0*y^13+x^2*y^0+x^2*y^13		4	css		
444	228	151	11708.6216	6	37	x^0*y^0+x^0*y^4+x^3*y^0+x^3*y^4		4	css		
432	228	144	10944.0000	54	4	x^0*y^0+x^0*y^2+x^39*y^0+x^39*y^2		4	css		
512	224	172	12943.0000	16	16	x^0*y^0+x^0*y^12+x^12*y^0+x^12*y^12	x^0*y^0+x^0*y^8+x^8*y^0+x^8*y^8	8	css		
504	224	163	11808.4444	42	6	x^0*y^0+x^0*y^1+x^28*y^0+x^28*y^1	x^0*y^0+x^0*y^2+x^14*y^0+x^14*y^2	8	css		
