n	k	d	fom	l	m	A	B	wt	fam	C	D
360	16	28	34.8444	12	15	x^1*y^12+x^3*y^8+x^5*y^11	x^2*y^1+x^8*y^13+x^10*y^2	6	css		
330	14	28	33.2606	15	11	x^1*y^1+x^3*y^3+x^4*y^4+x^6*y^3+x^6*y^6+x^12*y^7	x^2*y^5+x^2*y^9+x^8*y^0+x^8*y^2	10	css		
324	12	29	31.1481	18	9	x^4*y^4+x^6*y^7+x^7*y^8+x^17*y^2	x^2*y^1+x^5*y^0+x^13*y^0+x^14*y^7	8	css		
220	10	26	30.7273	2	55	x^0*y^36+x^0*y^38+x^0*y^43+x^1*y^46	x^0*y^11+x^0*y^15+x^0*y^26+x^0*y^30	8	css		
168	10	22	28.8095	6	14	x^2*y^7+x^2*y^12+x^3*y^11+x^3*y^12	x^0*y^8+x^1*y^1+x^3*y^7+x^4*y^6	8	css		
288	8	30	25.0000	48	3	x^20*y^2+x^22*y^2+x^25*y^1+x^37*y^1	x^4*y^0+x^6*y^2+x^30*y^2+x^38*y^1+x^40*y^2	9	css		
336	8	32	24.3810	28	6	x^0*y^2+x^5*y^1+x^14*y^4+x^17*y^4+x^21*y^2+x^25*y^4	x^2*y^5+x^10*y^4+x^11*y^2+x^11*y^4	10	css		
192	8	24	24.0000	24	4	x^1*y^0+x^3*y^3+x^7*y^0+x^10*y^1+x^14*y^0+x^16*y^2+x^17*y^0+x^20*y^2	x^1*y^1+x^1*y^3+x^4*y^0+x^7*y^0+x^10*y^1+x^12*y^1+x^17*y^3+x^22*y^3	16	css		
196	8	24	23.5102	14	7	x^0*y^2+x^2*y^0+x^7*y^1+x^8*y^5	x^3*y^3+x^5*y^0+x^7*y^6+x^11*y^5	8	css		
352	8	32	23.2727	8	22	x^0*y^2+x^4*y^12+x^7*y^13+x^7*y^16	x^0*y^8+x^0*y^20+x^1*y^9+x^1*y^14	8	css		
360	8	32	22.7556	12	15	x^1*y^12+x^3*y^8+x^4*y^11	x^2*y^1+x^8*y^13+x^9*y^2	6	css		
176	8	22	22.0000	44	2	x^4*y^0+x^14*y^1+x^22*y^0+x^42*y^1	x^14*y^1+x^15*y^0+x^17*y^1+x^20*y^1+x^21*y^1+x^27*y^0+x^30*y^0+x^40*y^0	12	css		
