n	k	d	fom	wt	l	m	A	B
108	38	4	5.6296	12	6	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
162	50	4	4.9383	12	9	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
144	44	4	4.8889	12	6	12	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
180	54	4	4.8000	12	10	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
216	62	4	4.5926	12	12	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
168	48	4	4.5714	12	7	12	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
216	56	4	4.1481	12	9	12	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
216	56	4	4.1481	12	6	18	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
216	56	4	4.1481	12	9	12	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
216	4	12	2.6667	5	9	12	x^0*y^4+x^0*y^5+x^6*y^0	x^0*y^5+x^1*y^0
216	4	12	2.6667	5	6	18	x^0*y^0+x^0*y^4+x^0*y^5	x^0*y^5+x^1*y^0
216	4	12	2.6667	5	9	12	x^0*y^4+x^0*y^5+x^6*y^0	x^0*y^5+x^1*y^0
162	4	9	2.0000	5	9	9	x^0*y^4+x^0*y^5+x^6*y^0	x^0*y^5+x^1*y^0
72	8	4	1.7778	6	6	6	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
72	32	2	1.7778	12	6	6	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4
162	8	6	1.7778	6	9	9	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
144	4	8	1.7778	5	6	12	x^0*y^0+x^0*y^4+x^0*y^5	x^0*y^5+x^1*y^0
108	2	9	1.5000	4	6	9	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
108	4	6	1.3333	5	6	9	x^0*y^0+x^0*y^4+x^0*y^5	x^0*y^5+x^1*y^0
216	8	6	1.3333	6	9	12	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
216	8	6	1.3333	6	12	9	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
216	2	12	1.3333	4	6	18	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
216	8	6	1.3333	6	9	12	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
108	8	4	1.1852	6	6	9	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
216	4	8	1.1852	5	12	9	x^0*y^4+x^0*y^5+x^6*y^0	x^0*y^5+x^1*y^0
180	2	10	1.1111	4	10	9	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
72	2	6	1.0000	4	6	6	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
162	2	9	1.0000	4	9	9	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
72	4	4	0.8889	5	6	6	x^0*y^0+x^0*y^4+x^0*y^5	x^0*y^5+x^1*y^0
144	8	4	0.8889	6	6	12	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
216	2	9	0.7500	4	12	9	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
216	8	4	0.5926	6	6	18	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0
144	2	6	0.5000	4	6	12	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
216	2	6	0.3333	4	9	12	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
216	2	6	0.3333	4	9	12	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
168	2	3	0.1071	4	7	12	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0
