n	k	d	fom	l	m	A	B	wt	fam	C	D
360	16	28	34.8444	12	15	x^1*y^12+x^3*y^8+x^5*y^11	x^2*y^1+x^8*y^13+x^10*y^2	6	css		
330	14	28	33.2606	15	11	x^1*y^1+x^3*y^3+x^4*y^4+x^6*y^3+x^6*y^6+x^12*y^7	x^2*y^5+x^2*y^9+x^8*y^0+x^8*y^2	10	css		
324	12	29	31.1481	18	9	x^4*y^4+x^6*y^7+x^7*y^8+x^17*y^2	x^2*y^1+x^5*y^0+x^13*y^0+x^14*y^7	8	css		
220	10	26	30.7273	2	55	x^0*y^36+x^0*y^38+x^0*y^43+x^1*y^46	x^0*y^11+x^0*y^15+x^0*y^26+x^0*y^30	8	css		
168	10	22	28.8095	6	14	x^2*y^7+x^2*y^12+x^3*y^11+x^3*y^12	x^0*y^8+x^1*y^1+x^3*y^7+x^4*y^6	8	css		
546	10	39	27.8571	13	21	x^1*y^12+x^5*y^14+x^9*y^12+x^10*y^14	x^5*y^13+x^6*y^20+x^7*y^20+x^8*y^0+x^9*y^11	9	css		
768	12	42	27.5625	16	24	x^5*y^10+x^5*y^15+x^8*y^17+x^14*y^20	x^0*y^16+x^0*y^21+x^6*y^0+x^8*y^4+x^8*y^9+x^11*y^1	10	css		
288	8	30	25.0000	48	3	x^20*y^2+x^22*y^2+x^25*y^1+x^37*y^1	x^4*y^0+x^6*y^2+x^30*y^2+x^38*y^1+x^40*y^2	9	css		
336	8	32	24.3810	28	6	x^0*y^2+x^5*y^1+x^14*y^4+x^17*y^4+x^21*y^2+x^25*y^4	x^2*y^5+x^10*y^4+x^11*y^2+x^11*y^4	10	css		
640	8	44	24.2000	8	40	x^0*y^30+x^3*y^39+x^4*y^10+x^4*y^22	x^1*y^29+x^3*y^19+x^5*y^18+x^7*y^12	8	css		
192	8	24	24.0000	24	4	x^1*y^0+x^3*y^3+x^7*y^0+x^10*y^1+x^14*y^0+x^16*y^2+x^17*y^0+x^20*y^2	x^1*y^1+x^1*y^3+x^4*y^0+x^7*y^0+x^10*y^1+x^12*y^1+x^17*y^3+x^22*y^3	16	css		
432	8	36	24.0000	27	8	x^4*y^0+x^5*y^4+x^12*y^1+x^14*y^2+x^22*y^6+x^24*y^5	x^1*y^0+x^8*y^2+x^12*y^3+x^15*y^6+x^15*y^7	11	css		
196	8	24	23.5102	14	7	x^0*y^2+x^2*y^0+x^7*y^1+x^8*y^5	x^3*y^3+x^5*y^0+x^7*y^6+x^11*y^5	8	css		
352	8	32	23.2727	8	22	x^0*y^2+x^4*y^12+x^7*y^13+x^7*y^16	x^0*y^8+x^0*y^20+x^1*y^9+x^1*y^14	8	css		
360	8	32	22.7556	12	15	x^1*y^12+x^3*y^8+x^4*y^11	x^2*y^1+x^8*y^13+x^9*y^2	6	css		
408	8	34	22.6667	12	17	x^7*y^2+x^9*y^4+x^11*y^0	x^5*y^14+x^7*y^0+x^9*y^11+x^11*y^9+x^11*y^11	8	css		
918	8	51	22.6667	9	51	x^1*y^10+x^1*y^34+x^2*y^19+x^3*y^48+x^6*y^49+x^7*y^31+x^8*y^35	x^2*y^1+x^5*y^9+x^5*y^12+x^8*y^46	11	css		
416	8	34	22.2308	8	26	x^1*y^7+x^1*y^23+x^3*y^19+x^7*y^13	x^0*y^1+x^0*y^10+x^0*y^12+x^4*y^0	8	css		
176	8	22	22.0000	44	2	x^4*y^0+x^14*y^1+x^22*y^0+x^42*y^1	x^14*y^1+x^15*y^0+x^17*y^1+x^20*y^1+x^21*y^1+x^27*y^0+x^30*y^0+x^40*y^0	12	css		
504	8	37	21.7302	42	6	x^13*y^3+x^17*y^4+x^26*y^4+x^38*y^4	x^13*y^3+x^17*y^2+x^33*y^1	7	css		
480	8	36	21.6000	48	5	x^5*y^4+x^17*y^3+x^20*y^1+x^20*y^4+x^44*y^1+x^44*y^3	x^7*y^4+x^10*y^3+x^18*y^1+x^22*y^2+x^39*y^0	11	css		
198	8	23	21.3737	33	3	x^17*y^2+x^22*y^2+x^29*y^2+x^31*y^2	x^13*y^1+x^15*y^1+x^20*y^0+x^26*y^1+x^27*y^2	9	css		
216	8	24	21.3333	3	36	x^0*y^1+x^0*y^35+x^2*y^19+x^2*y^31+x^2*y^33	x^0*y^2+x^0*y^4+x^0*y^9+x^0*y^13+x^0*y^25+x^0*y^30+x^1*y^27	12	css		
150	8	20	21.3333	5	15	x^0*y^5+x^1*y^0+x^1*y^1+x^1*y^12+x^1*y^14+x^2*y^7+x^4*y^11	x^0*y^4+x^1*y^6+x^2*y^9+x^3*y^4+x^4*y^2	12	css		
384	8	32	21.3333	32	6	x^1*y^0+x^10*y^4+x^18*y^5+x^21*y^2+x^24*y^4+x^25*y^4+x^28*y^5	x^8*y^5+x^9*y^3+x^13*y^3+x^31*y^5	11	css		
576	8	39	21.1250	24	12	x^2*y^7+x^6*y^11+x^22*y^1	x^9*y^4+x^15*y^7+x^15*y^10+x^18*y^5	7	css		
672	8	42	21.0000	28	12	x^6*y^0+x^14*y^2+x^22*y^7+x^22*y^11	x^2*y^7+x^4*y^2+x^5*y^4+x^5*y^5+x^6*y^7+x^13*y^7+x^18*y^3+x^27*y^8	12	css		
448	8	34	20.6429	14	16	x^0*y^0+x^2*y^3+x^4*y^3+x^4*y^8+x^5*y^9+x^6*y^5+x^9*y^11+x^9*y^13	x^4*y^1+x^8*y^6+x^9*y^7+x^12*y^10	12	css		
720	8	42	19.6000	8	45	x^1*y^32+x^4*y^13+x^5*y^44	x^0*y^10+x^0*y^18+x^7*y^12	6	css		
840	8	45	19.2857	10	42	x^0*y^17+x^6*y^15+x^9*y^4+x^9*y^8	x^2*y^7+x^6*y^9+x^8*y^30+x^8*y^38	8	css		
540	8	36	19.2000	15	18	x^6*y^17+x^7*y^4+x^9*y^5+x^9*y^7	x^0*y^14+x^1*y^10+x^12*y^8+x^13*y^13+x^14*y^6	9	css		
126	6	20	19.0476	3	21	x^0*y^7+x^0*y^17+x^1*y^0+x^1*y^1+x^1*y^10+x^1*y^11+x^1*y^16	x^0*y^1+x^0*y^2+x^0*y^8+x^0*y^14+x^1*y^6+x^1*y^11+x^2*y^18	14	css		
456	6	38	19.0000	6	38	x^1*y^33+x^3*y^29+x^5*y^16+x^5*y^34	x^0*y^27+x^0*y^32+x^1*y^34+x^1*y^35+x^3*y^14+x^3*y^34+x^4*y^7+x^4*y^33	12	css		
324	6	32	18.9630	18	9	x^3*y^4+x^6*y^7+x^7*y^8+x^17*y^2	x^1*y^1+x^5*y^0+x^13*y^0+x^14*y^7	8	css		
512	6	40	18.7500	32	8	x^26*y^3+x^27*y^2+x^28*y^7+x^29*y^4	x^4*y^6+x^9*y^7+x^10*y^5+x^12*y^0+x^15*y^6+x^24*y^6+x^25*y^4+x^25*y^7	12	css		
936	6	54	18.6923	26	18	x^7*y^2+x^7*y^8+x^9*y^15+x^10*y^6	x^5*y^17+x^6*y^2+x^10*y^10+x^20*y^7	8	css		
264	10	22	18.3333	22	6	x^0*y^4+x^1*y^2+x^2*y^4+x^3*y^3+x^13*y^3+x^14*y^2+x^14*y^3+x^20*y^3	x^0*y^0+x^1*y^1+x^4*y^3+x^7*y^2+x^14*y^2+x^16*y^2+x^16*y^5+x^21*y^4	16	css		
160	6	22	18.1500	4	20	x^0*y^14+x^1*y^19+x^2*y^17+x^3*y^17	x^0*y^0+x^1*y^0+x^2*y^14+x^3*y^2	8	css		
120	6	19	18.0500	3	20	x^0*y^0+x^0*y^15+x^1*y^2+x^1*y^5+x^1*y^10+x^1*y^14	x^0*y^2+x^0*y^14+x^0*y^17+x^1*y^5+x^1*y^12+x^2*y^16	12	css		
192	6	24	18.0000	24	4	x^1*y^2+x^5*y^0+x^9*y^2+x^11*y^0+x^12*y^1+x^13*y^1+x^16*y^1+x^22*y^2	x^2*y^0+x^12*y^3+x^15*y^2+x^23*y^0	12	css		
216	12	18	18.0000	9	12	x^1*y^9+x^3*y^3+x^4*y^1+x^7*y^1	x^0*y^8+x^4*y^10+x^5*y^4+x^8*y^2	8	css		
588	6	42	18.0000	42	7	x^4*y^5+x^19*y^2+x^21*y^4	x^12*y^2+x^15*y^0+x^17*y^2+x^22*y^3+x^31*y^1+x^33*y^5	9	css		
432	6	36	18.0000	9	24	x^0*y^5+x^2*y^8+x^3*y^4+x^4*y^9+x^5*y^2+x^6*y^22	x^1*y^8+x^4*y^18+x^6*y^19+x^8*y^10	10	css		
